#Field_number xki_field_center eta_field_center Mvlim alpha sigma
1 12.78275 -13.148249999999999 -5.506271184522859 -0.7228437470125353 0.4496521261896606
2 11.747499999999999 -13.24175 -5.274003269968672 -0.6387437349368851 0.3791057918826131
3 10.6795 -13.047999999999998 -5.294285460094061 -0.6912914663940717 0.4451083890406371
4 12.60675 -12.090250000000001 -5.344942686486154 -0.7277586619017599 0.40530274619347806
5 11.593250000000001 -12.175249999999998 -5.415238956325878 -0.6717301051443495 0.3455166113098718
6 13.62475 -11.924 -5.141289013891227 -0.749781929278014 0.4309508349446585
7 9.558 -12.2965 -5.267845915863061 -0.7530518771926287 0.4351472883414209
8 10.537 -11.986 -5.354846115769665 -0.6756927197797906 0.3880268276638219
9 2.923 -12.093 -5.168095047166093 -0.7655295687720901 0.3823752719708249
10 1.9415 -12.095749999999999 -5.333122071505516 -0.8185369402381816 0.43844444645261316
11 0.95975 -12.089000000000002 -5.1683560559590696 -0.7223604586706324 0.3647314678483249
12 14.4665 -10.801 -5.155636167455065 -0.7257567757757971 0.3755074772667832
13 12.437249999999999 -11.023750000000001 -5.405106614239421 -0.6820815515854302 0.3722443381886733
14 11.433250000000001 -11.12225 -5.788013611542699 -0.6496038542348944 0.4569815118019882
15 13.439 -10.866500000000002 -5.231711076671602 -0.7726961484933099 0.3420901427506631
16 9.42725 -11.24175 -5.143900376243489 -0.6441934612874981 0.4291135593468128
17 8.43075 -11.2695 -5.335872170305622 -0.7777645149694808 0.3496937877872953
18 10.393999999999998 -10.93625 -5.465919887102077 -0.6874092512573949 0.4092380898518434
19 3.4132499999999997 -11.05625 -5.263672552559286 -0.7007988618575057 0.40064290926546403
20 2.44225 -11.06375 -5.264855625377124 -0.71340979820225 0.3398460111946331
21 1.47475 -11.062750000000001 -5.199896680774954 -0.7262351554590136 0.43482021690105255
22 0.50675 -11.0515 -5.298338843136645 -0.7123658424489453 0.44657962082184116
23 14.265 -9.748249999999999 -5.153091907621949 -0.721769463675944 0.3625563177839025
24 12.2675 -9.97525 -5.299630332329729 -0.6618608861389698 0.40979513481299473
25 13.252500000000001 -9.817250000000001 -5.319920230111541 -0.6947548242741031 0.3198432991158255
1000000 1000000 1000000 1000000 1000000 1000000
27 8.67825 -10.26825 -5.2891968947917665 -0.7384502417639489 0.34440548322339914
28 9.6555 -10.16325 -5.370447568993626 -0.7515699644788246 0.3578878631967367
29 7.696250000000001 -10.27975 -5.244076991369589 -0.7062659332476283 0.4227655691262181
1000000 1000000 1000000 1000000 1000000 1000000
31 6.8655 -9.92625 -5.2391523037359224 -0.7444270468133758 0.4009233026528165
32 5.9885 -9.974499999999999 -5.278538510555879 -0.7779099008166418 0.4076048881688599
33 5.11275 -10.00775 -5.271971976040082 -0.6783880362422242 0.34173516953911
34 4.2395 -10.02225 -5.311770131094938 -0.7252217735256066 0.3703744728220162
35 3.3667499999999997 -10.02025 -5.342228656692487 -0.8138291978608189 0.4402379770143625
36 2.4282500000000002 -10.01125 -5.4224303450054405 -0.655065172373574 0.4012294214990411
37 0.45849999999999996 -10.028749999999999 -5.330720293648621 -0.7536004596160077 0.3587680306560892
38 -2.53425 -9.996 -5.150211562530087 -0.6102247233409498 0.387579418957421
39 -1.53775 -10.01625 -5.242579413995929 -0.7190773495099201 0.3642096117611805
40 -0.5404999999999999 -10.027249999999999 -5.231096342137408 -0.7103205570953146 0.37588160994318914
41 -3.533 -9.963 -5.310454901080046 -0.6828457844606958 0.35367134648843745
42 1.43225 -10.006250000000001 -5.257583719635562 -0.6430828239077422 0.3752671780609296
43 11.56075 -9.2995 -5.972345386655922 -0.6411069491494025 0.9966563668911191
44 13.437249999999999 -8.775 -5.327439076456676 -0.8563302028218303 0.4042314527618818
45 12.45275 -8.88725 -5.243854699431658 -0.7252439616281743 0.36287929993396423
46 8.689 -9.28325 -5.163598587525363 -0.653504020893478 0.3264350382512055
47 7.688750000000001 -9.3405 -5.314236846230734 -0.7553768686668613 0.34222661975492896
48 9.65475 -9.11275 -5.311121417807334 -0.7463236148538666 0.3598547072724088
49 10.607 -8.89725 -5.585628057246793 -0.759318261033107 0.45780913908684034
50 6.95375 -8.984250000000001 -5.274222577360927 -0.7192194407415411 0.2863071062445234
51 6.08025 -8.94275 -5.293856656328917 -0.7555192023176984 0.28775335259711493
52 5.2615 -8.9955 -5.423731363096815 -0.8239436708852367 0.4324284640182279
53 4.26675 -9.02125 -5.331458295797601 -0.7320699517544345 0.371415691844655
54 -4.6645 -8.9945 -5.322210640362564 -0.7441281842454757 0.36979514342199765
55 -3.6615 -9.03075 -5.381433626807027 -0.6376815268658934 0.3385221747338181
56 3.2689999999999997 -9.01575 -5.362700929564364 -0.6618474350573091 0.37223664996316286
57 -2.6745 -9.016 -5.325117616929253 -0.7054533333752679 0.39816884052502416
58 11.50325 -8.32275 -5.406482805280365 -0.7454152376467482 0.4326386147754531
59 2.277 -9.010750000000002 -5.369352081370874 -0.7332039755688394 0.402168447705315
60 1.2795 -9.0045 -5.333273669844864 -0.7297074883729476 0.3831979725059922
61 -1.7075 -8.98825 -5.436111378880228 -0.7427506370022787 0.36937732862185113
62 0.28450000000000003 -8.998999999999999 -5.454309379640866 -0.7151557177618153 0.368311054281504
63 -0.7110000000000001 -8.994 -5.416482106509148 -0.7394430419815059 0.3877339630146803
64 7.8575 -8.3975 -5.1713314162353266 -0.6812450225243002 0.4027402022338985
65 13.38325 -7.73925 -5.210589103811646 -0.7950778708362963 0.3503722945065633
66 8.71525 -8.2895 -5.250806392135285 -0.7199987542415741 0.4027982083235338
67 12.411249999999999 -7.856250000000001 -5.246361600209696 -0.6744738697913104 0.3737537984430526
68 9.654499999999999 -8.099499999999999 -5.277402714444003 -0.6494036920747189 0.3514131074747594
69 10.64525 -7.934499999999999 -5.510622450527137 -0.7887473033256719 0.43012467224092155
70 6.974 -7.953749999999999 -5.190372106487581 -0.7401726753212012 0.41852229282336845
71 6.0625 -7.9982500000000005 -5.300730277494903 -0.6086787119858691 0.3448930259112309
72 -5.8035 -7.995000000000001 -5.325787740168632 -0.6701000263347655 0.31114185825841106
73 5.074 -7.998 -5.275611538905575 -0.7220419486346418 0.3817860404425354
74 -4.814749999999999 -7.99525 -5.205434019294934 -0.6294614783115835 0.32673344367445634
75 4.086 -7.99775 -5.153956792675745 -0.6515856727052824 0.36260328222697596
76 11.566 -7.318 -5.297571882130214 -0.6821917781683867 0.40116892742512167
77 -3.8265000000000002 -7.99525 -5.390833592195116 -0.6368934970540763 0.32229351738661793
78 3.0965 -7.99675 -5.391771685120875 -0.7283914724449849 0.39936569864860216
79 -2.83725 -7.99525 -5.247932703149084 -0.5972544627493339 0.30058042860555406
80 2.107 -7.99625 -5.217979803333895 -0.7057212499568417 0.38083758947904767
81 -1.8495000000000001 -7.99525 -5.28216198882088 -0.7158900563530041 0.28484586485661745
82 1.1212499999999999 -7.995750000000001 -5.388784289275632 -0.7392377892040173 0.3816895027638576
83 -0.8574999999999999 -7.996 -5.326893043297883 -0.6969356230831921 0.29479521801535297
84 0.13 -7.996500000000001 -5.18164382948193 -0.6642105601681427 0.36708877764380804
85 7.736 -7.4704999999999995 -5.2952927303831 -0.7225486081951356 0.35797689563779284
86 8.6995 -7.2997499999999995 -5.226250514447075 -0.627718318014882 0.39543727479344515
87 12.498 -6.78975 -5.299294886846215 -0.6983937155860801 0.24246217381265447
88 9.656 -7.132 -5.380644658648062 -0.7894871150723157 0.36912715665447293
89 10.58625 -6.9505 -5.323870092057463 -0.7484605845100972 0.3815858312554032
90 6.914 -6.962 -5.46902089563696 -0.7791350369719471 0.37702451933380654
91 5.914 -6.99575 -5.366742285894547 -0.713566388081689 0.321199227204117
92 -5.969 -6.942 -5.43436374295948 -0.6762155268752595 0.40691364871039803
93 -4.9645 -6.99725 -5.410980494362003 -0.6564301294674991 0.3753347976812914
94 4.9245 -6.9955 -5.455178468287556 -0.7494949460993824 0.3841359213990424
95 -6.9735 -6.838749999999999 -5.34632234061255 -0.5890726684429212 0.44453116359817163
96 -3.9745 -6.998 -5.3901738790168086 -0.6435839590655144 0.33736128632167867
97 3.9370000000000003 -6.99725 -5.311668357400185 -0.7404230500231231 0.34237250227033694
98 11.404500000000002 -6.2932500000000005 -5.256668855588668 -0.6589820094746481 0.35782595052998056
99 -2.9872500000000004 -6.99775 -5.39389733688789 -0.6618604976517977 0.32734746376297763
100 2.9485 -6.9967500000000005 -5.438007720785324 -0.7045240579016984 0.3965028484541809
101 -1.99525 -6.998 -5.367166329761532 -0.6456831067652284 0.3223890363792603
102 1.9575 -6.99775 -5.374752976060842 -0.7042091570842419 0.38893255197587
103 -1.00775 -6.998 -5.465279052280214 -0.7246151081937552 0.33754856911565095
104 0.97075 -6.998500000000001 -5.345118078069056 -0.7271794109815355 0.36995516480747653
105 -0.007000000000000006 -6.984 -5.356331259420243 -0.6812751709932415 0.3691747267103203
106 7.745500000000001 -6.49675 -5.2462541780081695 -0.6698531876234469 0.2785122838506241
107 8.68275 -6.351 -5.464523443218252 -0.7095912041214087 0.41116063686795756
108 9.6075 -6.1835 -5.361240030526896 -0.6876975221229933 0.37367842592432476
109 10.43775 -5.93025 -5.373927637615497 -0.7003205625674012 0.33300661249555363
110 6.752750000000001 -5.9955 -5.412557216410076 -0.7853773083164228 0.32335889255726175
111 7.6995000000000005 -5.8862499999999995 -5.125376838199159 -0.5995646869944644 0.3180516912387483
112 -8.156749999999999 -5.83575 -5.364016605217871 -0.671573112052643 0.3752088071994902
